"X","Y","Z","Radius"
286.34,311.22,271.55,4.86
286.39,311.24,271.57,4.87
286.44,311.25,271.60,4.88
286.48,311.25,271.64,4.88
286.52,311.26,271.70,4.88
286.56,311.27,271.77,4.86
286.59,311.28,271.85,4.84
286.61,311.30,271.95,4.82
286.63,311.34,272.06,4.78
286.65,311.39,272.18,4.75
286.66,311.47,272.31,4.71
286.67,311.57,272.45,4.67
286.67,311.70,272.60,4.63
286.67,311.84,272.76,4.59
286.67,312.00,272.92,4.55
286.66,312.17,273.08,4.52
286.65,312.34,273.23,4.48
286.64,312.52,273.38,4.46
286.62,312.68,273.52,4.44
286.61,312.83,273.64,4.42
286.60,312.97,273.74,4.41
286.59,313.08,273.82,4.40
286.58,313.17,273.88,4.39
286.57,313.22,273.90,4.39
286.57,313.24,273.91,4.39
286.56,313.25,273.90,4.39
286.56,313.24,273.87,4.38
286.56,313.21,273.85,4.38
286.56,313.19,273.82,4.37
286.56,313.16,273.80,4.36
286.57,313.15,273.79,4.36
286.57,313.15,273.80,4.35
286.58,313.16,273.83,4.35
286.58,313.21,273.90,4.35
286.59,313.28,273.99,4.35
286.60,313.39,274.13,4.36
286.61,313.52,274.30,4.36
286.62,313.67,274.48,4.38
286.63,313.84,274.69,4.40
286.64,314.02,274.91,4.42
286.65,314.21,275.13,4.44
286.66,314.39,275.35,4.47
286.67,314.57,275.57,4.50
286.68,314.73,275.77,4.53
286.69,314.88,275.95,4.56
286.70,315.01,276.11,4.60
286.70,315.11,276.24,4.64
286.71,315.19,276.35,4.67
286.71,315.25,276.42,4.71
286.72,315.29,276.49,4.75
286.72,315.32,276.53,4.78
286.72,315.33,276.57,4.81
286.72,315.35,276.59,4.84
286.71,315.35,276.61,4.86
286.71,315.36,276.63,4.88
286.71,315.37,276.65,4.89
286.70,315.39,276.68,4.90
286.70,315.42,276.71,4.91
286.69,315.46,276.76,4.92
286.68,315.50,276.82,4.92
286.67,315.56,276.88,4.93
286.66,315.62,276.94,4.94
286.64,315.69,277.01,4.95
286.63,315.76,277.08,4.97
286.61,315.84,277.15,4.99
286.58,315.92,277.21,5.01
286.56,315.99,277.27,5.03
286.53,316.07,277.32,5.06
286.49,316.14,277.37,5.09
286.45,316.21,277.40,5.11
286.41,316.28,277.42,5.14
286.37,316.35,277.44,5.16
286.33,316.40,277.45,5.18
286.29,316.46,277.46,5.19
286.25,316.52,277.46,5.20
286.21,316.57,277.47,5.21
286.18,316.61,277.47,5.21
286.15,316.66,277.48,5.20
286.13,316.70,277.48,5.20
286.12,316.73,277.49,5.19
286.12,316.76,277.51,5.18
286.13,316.79,277.54,5.16
286.14,316.83,277.56,5.15
286.16,316.87,277.58,5.13
286.19,316.93,277.61,5.10
286.23,317.00,277.63,5.07
286.27,317.10,277.64,5.04
286.32,317.22,277.64,5.00
286.38,317.37,277.63,4.95
286.43,317.56,277.61,4.90
286.50,317.78,277.57,4.84
286.56,318.05,277.52,4.78
286.63,318.37,277.44,4.70
286.70,318.72,277.35,4.63
286.77,319.10,277.25,4.55
286.84,319.50,277.14,4.47
286.91,319.90,277.02,4.41
286.98,320.31,276.90,4.34
287.05,320.70,276.78,4.29
287.11,321.07,276.67,4.25
287.16,321.42,276.57,4.23
287.21,321.72,276.48,4.21
287.26,321.98,276.41,4.21
287.29,322.18,276.36,4.22
287.32,322.33,276.33,4.24
287.34,322.42,276.31,4.26
287.35,322.48,276.30,4.29
287.36,322.49,276.30,4.31
287.37,322.48,276.32,4.34
287.37,322.44,276.33,4.36
287.36,322.38,276.35,4.38
287.36,322.30,276.37,4.40
287.35,322.22,276.39,4.41
287.33,322.14,276.40,4.42
287.32,322.06,276.40,4.43
287.31,321.98,276.39,4.43
287.30,321.92,276.37,4.43
287.29,321.88,276.35,4.42
287.28,321.85,276.32,4.41
287.28,321.83,276.28,4.39
287.28,321.85,276.24,4.37
287.29,321.89,276.20,4.35
287.30,321.95,276.16,4.33
287.33,322.05,276.12,4.30
287.36,322.19,276.08,4.27
