"X","Y","Z","Radius"
372.35,338.43,463.90,4.85
372.38,338.43,463.92,4.86
372.42,338.42,463.93,4.87
372.44,338.41,463.95,4.89
372.46,338.39,463.97,4.91
372.46,338.37,463.99,4.93
372.46,338.35,464.00,4.95
372.45,338.32,464.01,4.97
372.42,338.30,464.02,4.99
372.40,338.27,464.03,5.00
372.37,338.25,464.03,5.01
372.34,338.23,464.03,5.01
372.30,338.21,464.02,5.00
372.27,338.20,464.01,4.98
372.24,338.19,463.98,4.94
372.21,338.20,463.95,4.89
372.18,338.21,463.91,4.84
372.16,338.23,463.86,4.78
372.15,338.26,463.81,4.71
372.14,338.30,463.75,4.66
372.13,338.33,463.69,4.61
372.13,338.37,463.63,4.58
372.12,338.40,463.58,4.56
372.12,338.42,463.54,4.57
372.12,338.42,463.51,4.61
372.11,338.41,463.50,4.65
372.10,338.38,463.51,4.71
372.08,338.32,463.54,4.77
372.06,338.24,463.61,4.82
372.03,338.12,463.70,4.86
371.99,337.97,463.83,4.87
371.95,337.78,463.99,4.86
371.90,337.56,464.18,4.83
371.84,337.31,464.38,4.76
371.77,337.03,464.60,4.68
371.70,336.73,464.83,4.59
371.62,336.41,465.06,4.49
371.54,336.08,465.28,4.38
371.45,335.73,465.48,4.28
371.36,335.38,465.67,4.19
371.27,335.01,465.83,4.11
371.18,334.64,465.95,4.04
371.08,334.28,466.03,4.00
370.99,333.92,466.07,3.97
370.89,333.56,466.06,3.97
370.80,333.21,466.00,3.99
370.71,332.87,465.91,4.04
370.62,332.55,465.79,4.11
370.53,332.23,465.64,4.22
370.45,331.93,465.47,4.36
370.36,331.64,465.29,4.51
370.29,331.37,465.10,4.68
370.21,331.11,464.90,4.85
370.15,330.88,464.71,5.03
370.08,330.67,464.54,5.20
370.03,330.48,464.37,5.35
369.98,330.31,464.23,5.49
369.94,330.17,464.11,5.60
369.90,330.05,464.01,5.69
369.87,329.95,463.94,5.76
369.85,329.87,463.88,5.82
369.83,329.81,463.84,5.86
369.82,329.76,463.81,5.89
369.80,329.72,463.79,5.91
369.80,329.69,463.78,5.93
369.79,329.67,463.77,5.95
369.79,329.66,463.77,5.96
369.79,329.65,463.78,5.97
369.79,329.64,463.78,5.97
369.79,329.64,463.78,5.97
369.79,329.63,463.78,5.98
369.79,329.62,463.77,5.98
369.79,329.61,463.76,5.98
369.79,329.60,463.75,5.98
369.80,329.59,463.74,5.98
369.80,329.58,463.73,5.98
369.79,329.58,463.72,5.98
369.79,329.57,463.70,5.98
369.79,329.57,463.70,5.97
369.79,329.57,463.69,5.97
369.78,329.57,463.68,5.96
369.78,329.57,463.68,5.96
369.77,329.58,463.68,5.95
369.76,329.59,463.69,5.94
369.75,329.61,463.70,5.93
369.74,329.62,463.71,5.93
369.73,329.64,463.72,5.92
369.72,329.65,463.73,5.91
369.72,329.65,463.74,5.91
369.72,329.66,463.74,5.91
369.72,329.65,463.73,5.91
369.73,329.64,463.72,5.91
369.74,329.61,463.69,5.92
369.75,329.58,463.66,5.93
369.78,329.53,463.61,5.95
369.81,329.46,463.54,5.97
369.85,329.38,463.46,5.99
369.90,329.29,463.37,6.01
369.95,329.18,463.26,6.04
370.01,329.07,463.15,6.07
370.07,328.95,463.03,6.10
370.14,328.82,462.90,6.13
370.21,328.70,462.77,6.16
370.28,328.58,462.64,6.19
370.35,328.46,462.52,6.22
370.42,328.35,462.40,6.24
370.48,328.25,462.28,6.26
370.55,328.16,462.18,6.27
370.61,328.08,462.08,6.28
370.67,328.02,462.01,6.28
370.72,327.98,461.94,6.28
370.77,327.94,461.88,6.28
370.82,327.92,461.83,6.29
370.86,327.90,461.80,6.29
370.89,327.88,461.77,6.30
370.92,327.86,461.74,6.31
370.95,327.84,461.73,6.32
370.97,327.82,461.71,6.34
370.99,327.79,461.70,6.36
371.00,327.74,461.69,6.38
371.00,327.69,461.68,6.40
371.01,327.61,461.67,6.41
371.00,327.52,461.65,6.43
370.99,327.42,461.64,6.44
370.98,327.29,461.62,6.45
370.97,327.16,461.60,6.46
370.95,327.02,461.58,6.46
370.94,326.86,461.55,6.47
370.92,326.71,461.52,6.47
370.90,326.55,461.48,6.47
370.89,326.39,461.45,6.48
370.87,326.24,461.40,6.48
370.86,326.09,461.36,6.48
370.85,325.95,461.31,6.48
370.85,325.82,461.26,6.49
370.85,325.71,461.20,6.49
370.85,325.60,461.14,6.50
370.86,325.51,461.07,6.51
370.88,325.42,461.00,6.53
370.89,325.35,460.93,6.54
370.91,325.28,460.86,6.56
370.93,325.22,460.80,6.58
370.96,325.16,460.73,6.60
370.98,325.11,460.66,6.62
371.01,325.06,460.60,6.64
371.04,325.01,460.54,6.66
371.07,324.96,460.48,6.67
371.10,324.91,460.43,6.68
371.13,324.86,460.38,6.69
371.16,324.80,460.34,6.69
371.18,324.74,460.30,6.69
371.22,324.68,460.27,6.69
371.25,324.62,460.24,6.68
371.29,324.55,460.21,6.68
371.33,324.48,460.17,6.67
371.37,324.41,460.14,6.66
371.42,324.34,460.10,6.65
371.47,324.26,460.06,6.65
371.53,324.19,460.02,6.64
371.60,324.11,459.97,6.64
371.67,324.02,459.91,6.64
371.75,323.94,459.84,6.64
371.84,323.86,459.76,6.65
371.94,323.77,459.68,6.66
372.04,323.67,459.60,6.67
372.14,323.58,459.52,6.69
372.24,323.47,459.43,6.71
372.34,323.36,459.36,6.73
372.43,323.25,459.29,6.75
372.53,323.12,459.22,6.76
372.61,322.99,459.17,6.78
372.69,322.85,459.13,6.79
372.76,322.70,459.11,6.80
372.81,322.54,459.10,6.80
372.86,322.37,459.11,6.79
372.89,322.19,459.14,6.78
372.90,322.00,459.19,6.77
372.91,321.81,459.25,6.75
372.91,321.61,459.33,6.74
372.90,321.42,459.41,6.72
372.89,321.22,459.49,6.71
372.88,321.04,459.58,6.70
372.86,320.86,459.67,6.69
372.84,320.69,459.75,6.68
372.82,320.54,459.83,6.68
372.80,320.40,459.90,6.68
372.79,320.29,459.96,6.68
372.78,320.19,460.01,6.68
372.78,320.11,460.04,6.69
372.78,320.05,460.06,6.70
372.79,320.01,460.07,6.71
372.80,319.98,460.07,6.72
372.81,319.96,460.06,6.72
372.83,319.94,460.05,6.74
372.84,319.92,460.03,6.75
372.86,319.91,460.02,6.76
372.87,319.89,460.00,6.77
372.89,319.87,459.98,6.78
372.90,319.84,459.97,6.79
372.90,319.79,459.96,6.79
372.91,319.73,459.96,6.80
372.91,319.65,459.97,6.81
372.91,319.56,459.99,6.82
372.90,319.45,460.01,6.84
372.89,319.33,460.04,6.86
372.88,319.19,460.08,6.88
372.87,319.04,460.12,6.91
372.86,318.87,460.17,6.94
372.85,318.68,460.22,6.98
372.84,318.49,460.28,7.03
372.83,318.28,460.34,7.09
372.82,318.06,460.41,7.16
372.82,317.83,460.48,7.23
372.82,317.58,460.55,7.32
372.82,317.32,460.63,7.41
372.82,317.06,460.71,7.52
372.83,316.79,460.79,7.63
372.83,316.52,460.88,7.75
372.84,316.26,460.96,7.87
372.85,316.00,461.04,7.98
372.85,315.74,461.12,8.10
372.86,315.50,461.20,8.20
372.86,315.28,461.28,8.29
372.86,315.07,461.36,8.37
372.85,314.88,461.43,8.44
372.85,314.72,461.50,8.49
372.83,314.58,461.57,8.53
372.81,314.47,461.63,8.57
372.79,314.39,461.68,8.59
372.76,314.33,461.73,8.61
372.73,314.29,461.79,8.63
372.69,314.27,461.83,8.64
372.65,314.26,461.88,8.65
372.61,314.27,461.92,8.66
372.56,314.28,461.96,8.66
372.52,314.30,462.01,8.67
372.47,314.32,462.05,8.67
372.42,314.35,462.09,8.67
372.37,314.37,462.13,8.67
372.32,314.39,462.18,8.67
372.26,314.40,462.22,8.67
372.21,314.40,462.27,8.67
372.16,314.40,462.32,8.66
372.11,314.40,462.37,8.66
372.07,314.39,462.42,8.66
372.02,314.37,462.48,8.66
371.97,314.36,462.53,8.66
371.93,314.34,462.58,8.67
371.89,314.32,462.63,8.67
371.85,314.30,462.68,8.68
371.81,314.28,462.73,8.68
371.78,314.26,462.78,8.69
371.75,314.24,462.83,8.70
371.72,314.22,462.88,8.70
371.70,314.21,462.92,8.71
371.67,314.20,462.96,8.72
371.65,314.18,463.00,8.73
371.64,314.17,463.04,8.73
371.62,314.17,463.07,8.74
371.60,314.16,463.10,8.74
371.58,314.16,463.13,8.75
371.57,314.16,463.15,8.74
371.55,314.16,463.16,8.74
371.53,314.16,463.17,8.74
371.51,314.16,463.18,8.73
371.49,314.17,463.18,8.72
371.47,314.18,463.17,8.70
371.44,314.18,463.16,8.69
371.41,314.19,463.15,8.67
371.38,314.19,463.13,8.65
371.35,314.18,463.12,8.63
371.31,314.16,463.11,8.61
371.27,314.13,463.11,8.59
371.23,314.09,463.11,8.58
371.18,314.03,463.12,8.56
371.12,313.95,463.14,8.54
371.07,313.85,463.17,8.52
371.01,313.72,463.21,8.49
370.94,313.57,463.27,8.46
370.87,313.39,463.35,8.41
370.80,313.19,463.45,8.36
370.72,312.96,463.56,8.29
370.63,312.72,463.68,8.22
370.54,312.46,463.82,8.13
370.44,312.19,463.97,8.03
370.33,311.91,464.13,7.93
370.22,311.63,464.30,7.83
370.09,311.34,464.49,7.73
369.96,311.06,464.68,7.63
369.82,310.78,464.88,7.53
369.67,310.51,465.08,7.44
369.52,310.25,465.29,7.35
369.35,310.00,465.51,7.27
369.17,309.77,465.72,7.20
368.99,309.56,465.94,7.14
368.81,309.36,466.16,7.09
368.62,309.17,466.37,7.05
368.44,309.00,466.58,7.01
368.26,308.84,466.77,6.99
368.08,308.69,466.96,6.98
367.91,308.56,467.13,6.98
367.76,308.44,467.29,6.98
367.61,308.33,467.43,6.99
367.48,308.24,467.55,7.00
367.37,308.15,467.65,7.01
367.28,308.08,467.73,7.02
367.21,308.02,467.78,7.03
367.15,307.97,467.82,7.03
367.11,307.93,467.84,7.03
367.08,307.90,467.84,7.02
367.07,307.87,467.83,7.02
367.07,307.86,467.82,7.01
367.07,307.85,467.80,7.01
367.09,307.85,467.78,7.01
367.11,307.86,467.75,7.01
367.13,307.87,467.73,7.02
367.16,307.89,467.72,7.03
367.19,307.92,467.71,7.04
367.22,307.95,467.71,7.05
367.25,307.98,467.73,7.06
367.27,308.01,467.75,7.06
367.29,308.03,467.78,7.07
367.30,308.05,467.81,7.07
367.29,308.05,467.84,7.07
367.28,308.04,467.87,7.07
367.24,308.02,467.89,7.06
367.20,307.97,467.91,7.05
367.13,307.90,467.92,7.05
367.04,307.80,467.92,7.04
366.92,307.66,467.90,7.03
366.78,307.50,467.87,7.02
366.61,307.29,467.82,7.01
366.41,307.05,467.75,7.01
366.19,306.79,467.67,7.01
365.96,306.50,467.58,7.03
365.71,306.19,467.47,7.04
365.46,305.87,467.36,7.07
365.20,305.55,467.24,7.11
364.95,305.23,467.12,7.17
364.70,304.92,467.00,7.24
364.47,304.62,466.88,7.33
364.26,304.34,466.77,7.43
364.07,304.08,466.66,7.53
363.90,303.86,466.55,7.64
363.77,303.68,466.46,7.74
363.66,303.53,466.39,7.83
363.59,303.42,466.32,7.91
363.54,303.34,466.26,7.97
363.51,303.28,466.21,8.02
363.49,303.25,466.17,8.04
363.49,303.23,466.14,8.05
363.50,303.23,466.12,8.04
363.51,303.24,466.10,8.03
363.52,303.25,466.09,8.01
363.53,303.27,466.08,7.99
363.53,303.28,466.08,7.98
363.53,303.29,466.08,7.97
363.50,303.29,466.09,7.97
363.47,303.27,466.10,7.97
363.42,303.25,466.11,7.98
363.36,303.22,466.12,8.00
363.28,303.18,466.13,8.02
363.21,303.14,466.14,8.04
363.12,303.09,466.16,8.07
363.03,303.04,466.17,8.10
362.94,302.99,466.19,8.13
362.86,302.94,466.21,8.16
362.77,302.89,466.23,8.19
362.68,302.84,466.24,8.22
362.61,302.80,466.26,8.25
362.54,302.76,466.27,8.28
362.48,302.73,466.29,8.31
362.43,302.70,466.30,8.33
362.38,302.68,466.31,8.35
362.34,302.66,466.32,8.37
362.31,302.65,466.33,8.38
362.28,302.63,466.33,8.39
362.25,302.62,466.33,8.40
362.23,302.62,466.33,8.40
362.21,302.61,466.33,8.41
362.19,302.60,466.33,8.41
362.17,302.60,466.32,8.40
362.15,302.59,466.30,8.40
362.14,302.58,466.29,8.39
362.11,302.57,466.27,8.38
362.09,302.56,466.25,8.37
362.07,302.55,466.22,8.36
362.04,302.53,466.20,8.35
362.02,302.51,466.17,8.33
361.99,302.48,466.14,8.31
361.96,302.45,466.11,8.29
361.93,302.42,466.07,8.27
361.90,302.38,466.04,8.25
361.86,302.34,466.01,8.23
361.83,302.29,465.98,8.21
361.80,302.23,465.95,8.18
361.76,302.17,465.92,8.15
361.72,302.10,465.89,8.13
361.69,302.03,465.86,8.10
361.65,301.95,465.83,8.07
361.61,301.87,465.81,8.03
361.58,301.79,465.79,8.00
361.54,301.71,465.76,7.97
361.50,301.64,465.74,7.94
361.47,301.57,465.72,7.91
361.43,301.51,465.70,7.89
361.40,301.45,465.68,7.86
361.37,301.41,465.66,7.84
361.34,301.38,465.64,7.82
361.31,301.36,465.62,7.80
361.28,301.35,465.60,7.78
361.26,301.36,465.58,7.78
361.23,301.37,465.56,7.77
361.21,301.38,465.55,7.77
361.20,301.40,465.53,7.78
361.19,301.42,465.52,7.79
361.18,301.43,465.51,7.80
361.18,301.43,465.51,7.81
361.18,301.42,465.51,7.82
361.19,301.39,465.51,7.82
361.20,301.35,465.52,7.82
361.22,301.29,465.53,7.80
361.25,301.20,465.55,7.77
361.28,301.08,465.58,7.72
361.32,300.95,465.61,7.66
361.36,300.78,465.64,7.59
361.39,300.59,465.68,7.51
361.42,300.37,465.71,7.42
361.45,300.13,465.74,7.32
361.46,299.87,465.77,7.22
361.45,299.59,465.79,7.11
361.43,299.28,465.81,7.00
361.40,298.95,465.81,6.89
361.33,298.61,465.80,6.79
361.25,298.24,465.78,6.69
361.13,297.85,465.74,6.61
360.99,297.45,465.68,6.55
360.82,297.03,465.62,6.50
360.62,296.60,465.53,6.48
360.41,296.17,465.44,6.49
360.19,295.74,465.34,6.52
359.96,295.32,465.23,6.58
359.73,294.91,465.11,6.65
359.49,294.51,465.00,6.74
359.27,294.13,464.88,6.82
359.05,293.78,464.76,6.91
358.85,293.46,464.65,6.99
358.67,293.17,464.55,7.06
358.51,292.92,464.45,7.11
358.38,292.71,464.36,7.15
358.28,292.54,464.27,7.18
358.20,292.41,464.20,7.19
358.14,292.30,464.14,7.20
358.11,292.22,464.08,7.21
358.08,292.15,464.03,7.22
358.07,292.09,463.98,7.23
358.08,292.04,463.94,7.24
358.08,291.98,463.90,7.26
358.10,291.92,463.87,7.28
358.12,291.85,463.83,7.31
358.13,291.76,463.80,7.35
358.15,291.65,463.78,7.39
358.15,291.50,463.75,7.43
358.16,291.33,463.72,7.49
358.15,291.14,463.69,7.55
358.15,290.94,463.67,7.61
358.14,290.72,463.64,7.68
358.13,290.49,463.62,7.75
358.11,290.26,463.60,7.82
358.10,290.03,463.58,7.89
358.08,289.80,463.56,7.97
358.07,289.59,463.54,8.03
358.05,289.39,463.53,8.10
358.04,289.21,463.52,8.16
358.03,289.05,463.51,8.21
358.02,288.93,463.51,8.26
358.02,288.83,463.51,8.30
358.01,288.75,463.51,8.34
358.01,288.69,463.51,8.36
358.02,288.65,463.52,8.39
358.02,288.63,463.53,8.40
358.03,288.62,463.54,8.41
358.03,288.62,463.55,8.41
358.04,288.63,463.56,8.40
358.05,288.64,463.57,8.40
358.06,288.66,463.58,8.39
358.07,288.67,463.59,8.38
358.08,288.67,463.60,8.37
358.09,288.67,463.61,8.37
358.10,288.66,463.62,8.37
358.11,288.64,463.63,8.37
358.12,288.62,463.63,8.38
358.13,288.59,463.64,8.39
358.14,288.55,463.65,8.40
358.14,288.52,463.65,8.41
358.15,288.48,463.66,8.42
358.15,288.44,463.67,8.44
358.15,288.39,463.68,8.44
358.15,288.35,463.69,8.45
358.15,288.31,463.70,8.46
358.14,288.27,463.71,8.46
358.13,288.23,463.73,8.47
358.12,288.20,463.75,8.47
358.11,288.17,463.76,8.48
358.10,288.14,463.78,8.48
358.08,288.12,463.80,8.49
358.07,288.10,463.81,8.50
358.07,288.08,463.82,8.51
358.06,288.06,463.83,8.52
358.06,288.05,463.84,8.54
358.06,288.05,463.84,8.55
358.07,288.04,463.83,8.55
358.09,288.04,463.82,8.56
358.11,288.05,463.80,8.55
358.14,288.05,463.78,8.54
358.18,288.07,463.74,8.53
358.22,288.08,463.71,8.51
358.27,288.08,463.67,8.48
358.30,288.08,463.63,8.45
358.33,288.07,463.59,8.43
358.35,288.05,463.56,8.40
358.36,288.02,463.54,8.38
358.34,287.96,463.53,8.36
358.31,287.89,463.53,8.34
358.24,287.79,463.55,8.33
358.15,287.67,463.59,8.32
358.03,287.51,463.65,8.31
357.86,287.33,463.73,8.30
357.67,287.11,463.83,8.29
357.44,286.87,463.96,8.27
357.19,286.61,464.09,8.24
356.93,286.34,464.24,8.20
356.65,286.06,464.39,8.16
356.37,285.78,464.55,8.11
356.10,285.50,464.70,8.06
355.84,285.24,464.85,8.02
355.59,285.00,464.98,7.97
355.37,284.77,465.10,7.92
355.17,284.58,465.20,7.89
355.02,284.43,465.28,7.86
354.90,284.31,465.33,7.84
354.83,284.24,465.35,7.82
354.80,284.20,465.35,7.81
354.80,284.20,465.33,7.81
354.82,284.21,465.30,7.80
354.85,284.24,465.26,7.80
354.89,284.28,465.23,7.80
354.94,284.32,465.19,7.79
354.98,284.36,465.17,7.78
355.01,284.38,465.16,7.76
355.01,284.39,465.18,7.75
354.99,284.37,465.22,7.74
354.94,284.31,465.29,7.73
354.85,284.22,465.40,7.73
354.71,284.09,465.55,7.73
354.53,283.92,465.73,7.75
354.32,283.72,465.95,7.78
354.09,283.50,466.18,7.81
353.85,283.27,466.42,7.86
353.59,283.02,466.68,7.91
353.33,282.77,466.94,7.96
353.07,282.53,467.20,8.01
352.82,282.29,467.45,8.06
352.59,282.07,467.68,8.11
352.38,281.87,467.89,8.15
352.20,281.70,468.08,8.19
352.06,281.57,468.23,8.21
351.96,281.47,468.35,8.24
351.89,281.41,468.43,8.26
351.85,281.38,468.49,8.28
351.84,281.37,468.52,8.29
351.85,281.38,468.53,8.30
351.87,281.40,468.52,8.31
351.90,281.43,468.50,8.32
351.94,281.46,468.46,8.33
351.98,281.50,468.42,8.34
352.01,281.52,468.38,8.35
352.03,281.54,468.34,8.36
352.04,281.54,468.30,8.37
352.02,281.52,468.27,8.38
351.98,281.47,468.25,8.39
351.92,281.40,468.24,8.40
351.83,281.31,468.24,8.41
351.74,281.20,468.25,8.42
351.63,281.09,468.27,8.43
351.52,280.96,468.29,8.45
351.39,280.83,468.31,8.47
351.27,280.70,468.33,8.48
351.15,280.57,468.36,8.50
351.03,280.45,468.39,8.53
350.92,280.33,468.42,8.55
350.82,280.23,468.44,8.57
350.74,280.14,468.46,8.60
350.67,280.07,468.48,8.62
350.62,280.01,468.49,8.64
350.58,279.98,468.50,8.66
350.56,279.95,468.51,8.67
350.55,279.94,468.51,8.68
350.54,279.94,468.51,8.69
350.55,279.94,468.51,8.69
350.57,279.96,468.50,8.68
350.59,279.98,468.50,8.68
350.62,280.01,468.49,8.67
350.65,280.05,468.48,8.66
350.68,280.08,468.47,8.64
350.72,280.12,468.46,8.63
