input_id,ror_id
fudan univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/013q1eq08', 'https://ror.org/00pw0pp06', 'https://ror.org/05n13be63', 'https://ror.org/02vfj3j86', 'https://ror.org/00xagtd33', 'https://ror.org/013a5fa56', 'https://ror.org/01zntxs11', 'https://ror.org/00my25942', 'https://ror.org/01tapk317', 'https://ror.org/04sx5hw70', 'https://ror.org/02wc1yz29', 'https://ror.org/04rhdtb47', 'https://ror.org/05wg75z42', 'https://ror.org/01nnwyz44']"
shanghai normal univ,"['https://ror.org/01cxqmw89', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/02yg0nm07', 'https://ror.org/006teas31', 'https://ror.org/054chcy06', 'https://ror.org/00h64t852', 'https://ror.org/022d5rd48', 'https://ror.org/02vpsdb40', 'https://ror.org/0316mxt43', 'https://ror.org/04sx5hw70', 'https://ror.org/0212jcf64', 'https://ror.org/02njz9p87', 'https://ror.org/03n7a5z57', 'https://ror.org/056y3dw16', 'https://ror.org/02jf7e446', 'https://ror.org/024qkwh22', 'https://ror.org/04c14yn55']"
bahauddin zakariya univ,"['https://ror.org/05x817c41', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
univ punjab,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/011maz450', 'https://ror.org/00pw0pp06', 'https://ror.org/00bsj2955', 'https://ror.org/025kz2973', 'https://ror.org/04hbpw172', 'https://ror.org/00f06eh80', 'https://ror.org/02qbzdk74', 'https://ror.org/00xagtd33', 'https://ror.org/056mnr244', 'https://ror.org/02kknsa06', 'https://ror.org/02r383j45', 'https://ror.org/04g0mqe67', 'https://ror.org/05819fq78', 'https://ror.org/04sx5hw70', 'https://ror.org/03k7qz240', 'https://ror.org/054d77k59', 'https://ror.org/02pp7xn25', 'https://ror.org/01hxmwm32']"
king saud univ,"['https://ror.org/02f81g417', 'https://ror.org/03aj9rj02', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/0149jvn88', 'https://ror.org/00pw0pp06', 'https://ror.org/03ynjfm77', 'https://ror.org/01evb6z23', 'https://ror.org/03nxex423', 'https://ror.org/00xagtd33', 'https://ror.org/02b2vbn56', 'https://ror.org/05gxjyb39', 'https://ror.org/02ma4wv74', 'https://ror.org/04cjdzt83', 'https://ror.org/05jnhtw66', 'https://ror.org/048d6j696', 'https://ror.org/052kwzs30', 'https://ror.org/05gkvd676', 'https://ror.org/00qp1n828', 'https://ror.org/03dakdm13']"
xiamen univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00mcjh785', 'https://ror.org/0331wa828', 'https://ror.org/01285e189', 'https://ror.org/05t1nkw30', 'https://ror.org/04zxtq045', 'https://ror.org/05wg75z42', 'https://ror.org/01rbbfm88', 'https://ror.org/0380m5132', 'https://ror.org/00xagtd33', 'https://ror.org/02bdemg64', 'https://ror.org/048nc2z47', 'https://ror.org/02z125451', 'https://ror.org/04sx5hw70', 'https://ror.org/00hwty226', 'https://ror.org/05x9nc097', 'https://ror.org/0006swh35', 'https://ror.org/00pdf6q45']"
univ thessaly,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/04v4g9h31', 'https://ror.org/04056ja87', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/04er69203', 'https://ror.org/00m129932', 'https://ror.org/04sx5hw70']"
ecole polytech fed lausanne,"['https://ror.org/02s376052', 'https://ror.org/0587jcv93', 'https://ror.org/01zn1kc16', 'https://ror.org/05fk5tr28', 'https://ror.org/05t58bx13', 'https://ror.org/05339ng12', 'https://ror.org/03paz2a60', 'https://ror.org/01mn31a72', 'https://ror.org/00ksn4909', 'https://ror.org/03n7scr80', 'https://ror.org/05ks2fq79', 'https://ror.org/01wxdvj03', 'https://ror.org/05qg1tz58', 'https://ror.org/01djrhs97', 'https://ror.org/02gsb6172', 'https://ror.org/0380n5h16', 'https://ror.org/058pmah25', 'https://ror.org/043m08574', 'https://ror.org/019whta54', 'https://ror.org/02zjks284']"
univ coimbra,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/04z8k9a98', 'https://ror.org/00xagtd33', 'https://ror.org/03c3y8w73', 'https://ror.org/01n8x4993', 'https://ror.org/02rejsj11', 'https://ror.org/04032fz76', 'https://ror.org/04sx5hw70', 'https://ror.org/00nqgfj77', 'https://ror.org/0087qvf80', 'https://ror.org/0597jba28', 'https://ror.org/047xxvg44', 'https://ror.org/018j3hx85']"
kit,"['https://ror.org/0159w2913', 'https://ror.org/028m8dj97', 'https://ror.org/00965ax52', 'https://ror.org/05dkjfz60', 'https://ror.org/011jwng84', 'https://ror.org/02jv1px47', 'https://ror.org/04t3en479', 'https://ror.org/02278tr80', 'https://ror.org/01z6bgg93', 'https://ror.org/02ws33e43']"
singapore management univ,"['https://ror.org/050qmg959', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/01wxh6v83', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/04dyk5z88', 'https://ror.org/036dq0x98', 'https://ror.org/01hbz8t53', 'https://ror.org/03at4pf87', 'https://ror.org/01y5z8p89', 'https://ror.org/008hf2578', 'https://ror.org/01mhwgh68', 'https://ror.org/00g9bca48', 'https://ror.org/03zvyfv67', 'https://ror.org/05f6fhp31', 'https://ror.org/02dwv3218', 'https://ror.org/023p4rz42', 'https://ror.org/00dzggj72', 'https://ror.org/01ygbkk63']"
nanyang technol univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/0203c2755', 'https://ror.org/04af7ga89', 'https://ror.org/00pw0pp06', 'https://ror.org/02e7b5302', 'https://ror.org/01f7yer47', 'https://ror.org/04zxtq045', 'https://ror.org/03j450x81', 'https://ror.org/00xagtd33', 'https://ror.org/01pjme364', 'https://ror.org/04sx5hw70']"
weizmann inst sci,"['https://ror.org/0363pts49', 'https://ror.org/02s7j7z43', 'https://ror.org/01ty4bg86', 'https://ror.org/05b1skj70', 'https://ror.org/0263dr507', 'https://ror.org/05m5z4f19', 'https://ror.org/01tcs9y33', 'https://ror.org/0341wf912', 'https://ror.org/003cm7v94', 'https://ror.org/03t78j106', 'https://ror.org/00dyv8n62', 'https://ror.org/002tqyd59', 'https://ror.org/05291fa13', 'https://ror.org/03kswc577', 'https://ror.org/0283c7q62', 'https://ror.org/053vdc408', 'https://ror.org/01m52ey02', 'https://ror.org/05p56yz34', 'https://ror.org/0316ej306', 'https://ror.org/04npkmp39']"
hanwang peoples hosp,"['https://ror.org/002m7kv43', 'https://ror.org/01g8cdp94', 'https://ror.org/058c5e806', 'https://ror.org/0310dsa24', 'https://ror.org/041b3m426', 'https://ror.org/00ppcg417', 'https://ror.org/04vtzbx16', 'https://ror.org/05hak3w16', 'https://ror.org/03h2dv749', 'https://ror.org/02dn9h927', 'https://ror.org/02xven060', 'https://ror.org/03hwa6484', 'https://ror.org/00zzzgw04', 'https://ror.org/003v0x852', 'https://ror.org/02ze2t980', 'https://ror.org/050vepj62', 'https://ror.org/027c96635', 'https://ror.org/03k4btr05', 'https://ror.org/04fvg7665', 'https://ror.org/029fxjk95']"
hebei normal univ,"['https://ror.org/004rbbw49', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/05g1mag11', 'https://ror.org/01p884a79', 'https://ror.org/00xagtd33', 'https://ror.org/033hgw744', 'https://ror.org/009fw8j44', 'https://ror.org/01bxmvw18', 'https://ror.org/04z4wmb81', 'https://ror.org/01nv7k942', 'https://ror.org/05j1kc284', 'https://ror.org/04a9xrr47', 'https://ror.org/01yvh4c79', 'https://ror.org/03jb7qa21', 'https://ror.org/01s1s3g75', 'https://ror.org/013x4kb81', 'https://ror.org/03hqwnx39', 'https://ror.org/04eymdx19']"
univ algarve,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00me37y22', 'https://ror.org/00pw0pp06', 'https://ror.org/02rgrnk13', 'https://ror.org/014g34x36', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
uae univ,"['https://ror.org/03z4qet58', 'https://ror.org/03wkb8h74', 'https://ror.org/05vm4ac48', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/02rxa1r38', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
abu dhabi hlth serv co seha,"['https://ror.org/00e5k0821', 'https://ror.org/01r3kjq03', 'https://ror.org/016bjqk65', 'https://ror.org/03e1ymy32', 'https://ror.org/02x5wtf56', 'https://ror.org/048s0v676', 'https://ror.org/00p2bx870', 'https://ror.org/03ccwth61', 'https://ror.org/010e8pt90', 'https://ror.org/013sqra93', 'https://ror.org/01wry0y20', 'https://ror.org/039jmdw40', 'https://ror.org/019apvn83', 'https://ror.org/03zrfs389', 'https://ror.org/02kc2j595', 'https://ror.org/028s91538', 'https://ror.org/00z0vcr53', 'https://ror.org/02prd1m09', 'https://ror.org/04f2zcj37', 'https://ror.org/02evzb864']"
ajman univ sci & technol,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/01j1rma10', 'https://ror.org/01ty4bg86', 'https://ror.org/05b1skj70', 'https://ror.org/0263dr507', 'https://ror.org/05m5z4f19', 'https://ror.org/01tcs9y33', 'https://ror.org/0341wf912', 'https://ror.org/003cm7v94', 'https://ror.org/03t78j106', 'https://ror.org/00dyv8n62', 'https://ror.org/002tqyd59', 'https://ror.org/05291fa13', 'https://ror.org/03kswc577', 'https://ror.org/0283c7q62', 'https://ror.org/053vdc408', 'https://ror.org/01m52ey02', 'https://ror.org/05p56yz34', 'https://ror.org/00pw0pp06']"
shanghai jiao tong univ,"['https://ror.org/0220qvk04', 'https://ror.org/017zhmm22', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00264zf15', 'https://ror.org/05j35jp78', 'https://ror.org/00pw0pp06', 'https://ror.org/040wknf84', 'https://ror.org/00xagtd33', 'https://ror.org/006teas31', 'https://ror.org/054chcy06', 'https://ror.org/00h64t852', 'https://ror.org/022d5rd48', 'https://ror.org/02vpsdb40', 'https://ror.org/0316mxt43', 'https://ror.org/04sx5hw70', 'https://ror.org/03wnd8976', 'https://ror.org/03fjc3817', 'https://ror.org/027r7gj11', 'https://ror.org/01ty4bg86']"
henan agr univ,"['https://ror.org/05xf0e721', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/02ev4fa71', 'https://ror.org/00pw0pp06', 'https://ror.org/003xyzq10', 'https://ror.org/0149mnh61', 'https://ror.org/00xagtd33', 'https://ror.org/051jybk56', 'https://ror.org/05sbgwt55', 'https://ror.org/043ek5g31', 'https://ror.org/015qzwq73', 'https://ror.org/04eq83d71', 'https://ror.org/00s13br28', 'https://ror.org/05d80kz58', 'https://ror.org/01tsmvz08', 'https://ror.org/05vr1c885', 'https://ror.org/001rfde81', 'https://ror.org/00hy87220', 'https://ror.org/00ed0hz84']"
swedish univ agr sci,"['https://ror.org/05xf0e721', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/01ty4bg86', 'https://ror.org/05b1skj70', 'https://ror.org/0263dr507', 'https://ror.org/05m5z4f19', 'https://ror.org/01tcs9y33', 'https://ror.org/0341wf912', 'https://ror.org/003cm7v94', 'https://ror.org/03t78j106', 'https://ror.org/00dyv8n62', 'https://ror.org/002tqyd59', 'https://ror.org/05291fa13', 'https://ror.org/03kswc577', 'https://ror.org/0283c7q62', 'https://ror.org/053vdc408', 'https://ror.org/01m52ey02', 'https://ror.org/05p56yz34', 'https://ror.org/02ev4fa71']"
fujian normal univ,"['https://ror.org/020azk594', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/00ghnph13', 'https://ror.org/050s6ns64', 'https://ror.org/01d6wrk87', 'https://ror.org/017y22r40', 'https://ror.org/05n0qbd70', 'https://ror.org/01mc04w21', 'https://ror.org/01cyb5v38', 'https://ror.org/00f5sa326', 'https://ror.org/045wzwx52', 'https://ror.org/02yg0nm07', 'https://ror.org/059qzzv16', 'https://ror.org/058ms9w43', 'https://ror.org/024xp9k29', 'https://ror.org/04yep8s05', 'https://ror.org/01ydbqk02']"
china earthquake adm,"['https://ror.org/00r66br24', 'https://ror.org/0499r1e09', 'https://ror.org/045sza929', 'https://ror.org/039p7nx39', 'https://ror.org/01e2m0794', 'https://ror.org/02gzvm828', 'https://ror.org/04p7g7c05', 'https://ror.org/03vtskf62', 'https://ror.org/02xh1tf34', 'https://ror.org/03dgcmw96', 'https://ror.org/0146tv827', 'https://ror.org/05yc9cc15', 'https://ror.org/03vhnve41', 'https://ror.org/03v188q73', 'https://ror.org/058m30p27', 'https://ror.org/01hh6s351', 'https://ror.org/05e521308', 'https://ror.org/01zy7ja20', 'https://ror.org/04jvr6m30', 'https://ror.org/059hsy938']"
univ burdwan,"['https://ror.org/05cyd8v32', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/042bhxs14', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
svnit,['https://ror.org/02y394t43']
vit univ,"['https://ror.org/00qzypv28', 'https://ror.org/03qe98b42', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
chongqing univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/023rhb549', 'https://ror.org/00xagtd33', 'https://ror.org/00fgwkr80', 'https://ror.org/01dcw5w74', 'https://ror.org/05ct91r78', 'https://ror.org/04gfm7t49', 'https://ror.org/017z00e58', 'https://ror.org/047d8yx24', 'https://ror.org/01t001k65', 'https://ror.org/02d06s578', 'https://ror.org/01rcvq140', 'https://ror.org/04sx5hw70', 'https://ror.org/03epp6210', 'https://ror.org/03xhwyc44', 'https://ror.org/03tb73372', 'https://ror.org/057skcn66', 'https://ror.org/05rs3pv16']"
univ melbourne,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/02gdmq314', 'https://ror.org/01r7sqp31', 'https://ror.org/05gkzhv48', 'https://ror.org/01ej9dk98', 'https://ror.org/04z4kmw33', 'https://ror.org/04mxvyg40', 'https://ror.org/00pw0pp06', 'https://ror.org/01tkc7083', 'https://ror.org/05kdkdw55', 'https://ror.org/005bvs909', 'https://ror.org/03hspt047', 'https://ror.org/00xagtd33', 'https://ror.org/05rwzhy90', 'https://ror.org/013fdz725', 'https://ror.org/022mtcz62', 'https://ror.org/04vghy880', 'https://ror.org/04sx5hw70', 'https://ror.org/03m3ca021']"
hunan univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/03ty5px05', 'https://ror.org/05qfq0x09', 'https://ror.org/04n3k2k71', 'https://ror.org/05htk5m33', 'https://ror.org/00xagtd33', 'https://ror.org/05psxec48', 'https://ror.org/025020z88', 'https://ror.org/03e207173', 'https://ror.org/01g2vd413', 'https://ror.org/01351nn19', 'https://ror.org/04j3vr751', 'https://ror.org/02m9vrb24', 'https://ror.org/01dzed356', 'https://ror.org/032bw1116', 'https://ror.org/044ysd349', 'https://ror.org/053w1zy07', 'https://ror.org/02gh10772']"
flinders univ s australia,"['https://ror.org/01kpzv902', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/01xp9ya88', 'https://ror.org/020aczd56', 'https://ror.org/00pw0pp06', 'https://ror.org/01fhbm930', 'https://ror.org/00xagtd33', 'https://ror.org/02145de51', 'https://ror.org/00jztws02', 'https://ror.org/00h2tq173', 'https://ror.org/054a8d283', 'https://ror.org/01d20y590', 'https://ror.org/034e8et22', 'https://ror.org/02vx8p498', 'https://ror.org/01t8k0773', 'https://ror.org/048jgf895', 'https://ror.org/04etfv811', 'https://ror.org/012jfdt97', 'https://ror.org/039p7nx39']"
china univ min & technol,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00t0v7w29', 'https://ror.org/006yqdy38', 'https://ror.org/00xagtd33', 'https://ror.org/05mg82t36', 'https://ror.org/0109nma88', 'https://ror.org/04sx5hw70', 'https://ror.org/04jvr6m30', 'https://ror.org/059hsy938', 'https://ror.org/03jgnzt20', 'https://ror.org/0026yhs27', 'https://ror.org/05gftfe97', 'https://ror.org/00n49pr77', 'https://ror.org/044gm0487', 'https://ror.org/033mgm122', 'https://ror.org/04rveb346', 'https://ror.org/02zrmae98', 'https://ror.org/01ny34961']"
csiro,"['https://ror.org/03qn8fb07', 'https://ror.org/02jfhsn35', 'https://ror.org/04sx9wp33', 'https://ror.org/051hpv692', 'https://ror.org/02cgy3m12', 'https://ror.org/03jh4jw93', 'https://ror.org/026nh4520', 'https://ror.org/057xz1h85', 'https://ror.org/0152bt112']"
monash univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/02bfwt286', 'https://ror.org/03j50y383', 'https://ror.org/02t1bej08', 'https://ror.org/00pw0pp06', 'https://ror.org/013m0ac37', 'https://ror.org/016mx5748', 'https://ror.org/00yncr324', 'https://ror.org/036s9kg65', 'https://ror.org/009436s82', 'https://ror.org/02r3nf527', 'https://ror.org/00xagtd33', 'https://ror.org/05p96ba03', 'https://ror.org/01e310919', 'https://ror.org/04sx5hw70']"
chonbuk natl univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/05q92br09', 'https://ror.org/00pw0pp06', 'https://ror.org/03by16w37', 'https://ror.org/00xagtd33', 'https://ror.org/019037b12', 'https://ror.org/04sx5hw70']"
cnr,"['https://ror.org/04erv1b58', 'https://ror.org/04zaypm56', 'https://ror.org/00pb0ac76', 'https://ror.org/013fk0013', 'https://ror.org/01zz9wh30', 'https://ror.org/03x7xkr71', 'https://ror.org/00bc51d88', 'https://ror.org/02fkw1114', 'https://ror.org/02gdcn153', 'https://ror.org/0141vn777', 'https://ror.org/00n8ttd98', 'https://ror.org/01j6drw72', 'https://ror.org/05w88pj86', 'https://ror.org/02the9q75', 'https://ror.org/01kdj2848', 'https://ror.org/00s2j5046', 'https://ror.org/006qkqr45', 'https://ror.org/054ye0e45', 'https://ror.org/052q58629', 'https://ror.org/03wyf0g15']"
csic,"['https://ror.org/02trn6p95', 'https://ror.org/033s51991', 'https://ror.org/0410k9915', 'https://ror.org/02gfc7t72', 'https://ror.org/056a37x91', 'https://ror.org/002zef647', 'https://ror.org/01nsd7y51', 'https://ror.org/03hasqf61', 'https://ror.org/00tpn9z48', 'https://ror.org/01297db79']"
helmholtz zentrum munchen,"['https://ror.org/00cfam450', 'https://ror.org/03qjp1d79', 'https://ror.org/02njgxr09', 'https://ror.org/01zy2cs03', 'https://ror.org/03d0p2685', 'https://ror.org/000h6jb29', 'https://ror.org/01vvnmw35', 'https://ror.org/02h2x0161', 'https://ror.org/04z8jg394', 'https://ror.org/02aj13c28', 'https://ror.org/00bxsm637', 'https://ror.org/01zmdh962', 'https://ror.org/03nsv9b85', 'https://ror.org/012k1v959', 'https://ror.org/0355d9b09', 'https://ror.org/03pfshj32', 'https://ror.org/04janzm11', 'https://ror.org/04jrxee54', 'https://ror.org/032e6b942', 'https://ror.org/02kkvpp62']"
univ hong kong,"['https://ror.org/034179816', 'https://ror.org/05k27r045', 'https://ror.org/01bvxvq19', 'https://ror.org/035c0tw34', 'https://ror.org/02zhqgq86', 'https://ror.org/04d0zy231', 'https://ror.org/015ygrv52', 'https://ror.org/01yn40g02', 'https://ror.org/0474e7473', 'https://ror.org/04r9c8c47', 'https://ror.org/02hbtf857', 'https://ror.org/00p6ghq98', 'https://ror.org/00ytg8k67', 'https://ror.org/00ws3fz89', 'https://ror.org/03fttgk04', 'https://ror.org/02gze7m48', 'https://ror.org/04tk9hj58', 'https://ror.org/028wrtm78', 'https://ror.org/04nfhy837', 'https://ror.org/00vx9pd91']"
natl canc ctr singapore,"['https://ror.org/016nn6y69', 'https://ror.org/0502kph39', 'https://ror.org/01bkx5q50', 'https://ror.org/04dyk5z88', 'https://ror.org/036dq0x98', 'https://ror.org/01hbz8t53', 'https://ror.org/03at4pf87', 'https://ror.org/01y5z8p89', 'https://ror.org/008hf2578', 'https://ror.org/01mhwgh68', 'https://ror.org/00g9bca48', 'https://ror.org/03zvyfv67', 'https://ror.org/05f6fhp31', 'https://ror.org/02dwv3218', 'https://ror.org/023p4rz42', 'https://ror.org/00dzggj72', 'https://ror.org/01ygbkk63', 'https://ror.org/050d1hk46', 'https://ror.org/01q5b3b88', 'https://ror.org/031y85330']"
univ hosp hradec kralove,"['https://ror.org/05k238v14', 'https://ror.org/04wckhb82', 'https://ror.org/00ar31v66', 'https://ror.org/01ne55s87', 'https://ror.org/03cd72537', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/0432ndn22', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
finnish inst occupat hlth,"['https://ror.org/0363pts49', 'https://ror.org/02s7j7z43', 'https://ror.org/04863f219', 'https://ror.org/05azkwn61', 'https://ror.org/00cky6c92', 'https://ror.org/01qe64w73', 'https://ror.org/00hef7f20', 'https://ror.org/05hppb561', 'https://ror.org/045thge14', 'https://ror.org/034603r08', 'https://ror.org/03m2axv35', 'https://ror.org/0593mby10', 'https://ror.org/006enzj37', 'https://ror.org/03snntx53', 'https://ror.org/013nat269', 'https://ror.org/027xav248', 'https://ror.org/01hffx244', 'https://ror.org/03k90y290', 'https://ror.org/01j5yx942', 'https://ror.org/03bgr9b71']"
stanford univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/03mtd9a03', 'https://ror.org/00f54p054', 'https://ror.org/019wqcg20', 'https://ror.org/05s570m15', 'https://ror.org/03kezgr11', 'https://ror.org/00xagtd33', 'https://ror.org/05gzmn429', 'https://ror.org/02vzbm991', 'https://ror.org/04sx5hw70']"
beaumont res inst,"['https://ror.org/0363pts49', 'https://ror.org/02s7j7z43', 'https://ror.org/00gsbmb44', 'https://ror.org/036gc1b60', 'https://ror.org/01jeebd83', 'https://ror.org/03m629g08', 'https://ror.org/050qpjf10', 'https://ror.org/03x4pp342', 'https://ror.org/05g2hd893', 'https://ror.org/043mzjj67', 'https://ror.org/040ss6920', 'https://ror.org/020rm1980', 'https://ror.org/03xvgfq55', 'https://ror.org/03nr10290', 'https://ror.org/045yxgc38', 'https://ror.org/024009532', 'https://ror.org/03artm726', 'https://ror.org/05x9ffc66', 'https://ror.org/00t64mp36', 'https://ror.org/00afc8732']"
acad sci czech republ,"['https://ror.org/028sgmw18', 'https://ror.org/00mn36586', 'https://ror.org/01ty4bg86', 'https://ror.org/05b1skj70', 'https://ror.org/0263dr507', 'https://ror.org/05m5z4f19', 'https://ror.org/01tcs9y33', 'https://ror.org/0341wf912', 'https://ror.org/003cm7v94', 'https://ror.org/03t78j106', 'https://ror.org/00dyv8n62', 'https://ror.org/002tqyd59', 'https://ror.org/05291fa13', 'https://ror.org/03kswc577', 'https://ror.org/0283c7q62', 'https://ror.org/053vdc408', 'https://ror.org/01m52ey02', 'https://ror.org/05p56yz34', 'https://ror.org/04npkmp39', 'https://ror.org/02xsn7259']"
univ tours,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00xzj9k32', 'https://ror.org/00jpq0w62', 'https://ror.org/00pw0pp06', 'https://ror.org/02wwzvj46', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70', 'https://ror.org/03r938j26', 'https://ror.org/05x346678']"
univ macau,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/01r4q9n85', 'https://ror.org/00snyqa86', 'https://ror.org/02sf5td35', 'https://ror.org/00xagtd33', 'https://ror.org/01m6ap410', 'https://ror.org/04gpd4q15', 'https://ror.org/04sx5hw70', 'https://ror.org/03jqs2n27', 'https://ror.org/01mt0cc57', 'https://ror.org/02gwsx029']"
imares,[]
inst marine res,"['https://ror.org/0363pts49', 'https://ror.org/02s7j7z43', 'https://ror.org/00gsbmb44', 'https://ror.org/036gc1b60', 'https://ror.org/01jeebd83', 'https://ror.org/03m629g08', 'https://ror.org/020rm1980', 'https://ror.org/05581wm82', 'https://ror.org/00spcac30', 'https://ror.org/02kh2f959', 'https://ror.org/0415tqb32', 'https://ror.org/05av9mn02', 'https://ror.org/01ayynt22', 'https://ror.org/04h3f3n10', 'https://ror.org/03pgsk336', 'https://ror.org/01hp6xm80', 'https://ror.org/0076czt51', 'https://ror.org/01h90nm51', 'https://ror.org/039cthy03', 'https://ror.org/01r5gad37']"
interdisciplinary ctr marine & environm res ciima,"['https://ror.org/016nn6y69', 'https://ror.org/00gsbmb44', 'https://ror.org/036gc1b60', 'https://ror.org/01jeebd83', 'https://ror.org/03m629g08', 'https://ror.org/0502kph39', 'https://ror.org/01bkx5q50', 'https://ror.org/04x68p008', 'https://ror.org/020rm1980', 'https://ror.org/023n9q531', 'https://ror.org/01px5cv07', 'https://ror.org/04h51r045', 'https://ror.org/03ye55p43', 'https://ror.org/03tr83233', 'https://ror.org/04kf5kc54', 'https://ror.org/02fjjnc15', 'https://ror.org/032j53342', 'https://ror.org/0345t3q13', 'https://ror.org/04pcdsm76', 'https://ror.org/03whr7s66']"
univ ghent,"['https://ror.org/00cv9y106', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00xmkp704', 'https://ror.org/00rs45z86', 'https://ror.org/00pw0pp06', 'https://ror.org/04ffw0491', 'https://ror.org/02afm7029', 'https://ror.org/041bygf77', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
ctr agua pino,"['https://ror.org/016nn6y69', 'https://ror.org/0502kph39', 'https://ror.org/01bkx5q50', 'https://ror.org/00ss52190', 'https://ror.org/04rhps755', 'https://ror.org/04aptxm88', 'https://ror.org/03dpzam72', 'https://ror.org/03xw95w54', 'https://ror.org/03j4s9c05', 'https://ror.org/05xmvmv34', 'https://ror.org/046ka3r30', 'https://ror.org/04zfaj906', 'https://ror.org/04x68p008', 'https://ror.org/056yktd04', 'https://ror.org/0098fsf52', 'https://ror.org/05jt8mz33', 'https://ror.org/03fdtyj95', 'https://ror.org/03zpx9a04']"
zhejiang univ technol,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/02f83md58', 'https://ror.org/02m2h7991', 'https://ror.org/00a2xv884', 'https://ror.org/02kzr5g33', 'https://ror.org/03mys6533', 'https://ror.org/042t7yh44', 'https://ror.org/0331z5r71', 'https://ror.org/02djqfd08', 'https://ror.org/01vwvvq12', 'https://ror.org/05m0wv206', 'https://ror.org/01vevwk45', 'https://ror.org/02n6dhr29', 'https://ror.org/01q17sd51', 'https://ror.org/01rxaf991', 'https://ror.org/00deghz86', 'https://ror.org/04s9pf004']"
