input_id,ror_id
belfast bible coll,"['https://ror.org/03rq50d77', 'https://ror.org/01p0a2d88', 'https://ror.org/02c2anw65', 'https://ror.org/02zw2vm28', 'https://ror.org/02z5b5082', 'https://ror.org/02405mj67', 'https://ror.org/003kr8v19', 'https://ror.org/00c5bvm83', 'https://ror.org/00hc63q81', 'https://ror.org/00hswnk62', 'https://ror.org/01wa67h94', 'https://ror.org/01e4h3c94', 'https://ror.org/014dwa961', 'https://ror.org/02mvc1a11', 'https://ror.org/015jwe732', 'https://ror.org/03t7fe423', 'https://ror.org/05y8hw592', 'https://ror.org/0568w4770', 'https://ror.org/05jfg8552', 'https://ror.org/05g617r34']"
royal grp hosp,"['https://ror.org/03rq50d77', 'https://ror.org/003r53j91', 'https://ror.org/016kj2436', 'https://ror.org/05san5604', 'https://ror.org/03cb8f280', 'https://ror.org/01mwwwn80', 'https://ror.org/037m83a38', 'https://ror.org/05bsjqt55', 'https://ror.org/01ge67z96', 'https://ror.org/056vnsb08', 'https://ror.org/05xv66680', 'https://ror.org/03wnrjx87', 'https://ror.org/00dkg9f08', 'https://ror.org/02zzhpq74', 'https://ror.org/00k01kt20', 'https://ror.org/00c0kg894', 'https://ror.org/03cht9689', 'https://ror.org/01pxap840', 'https://ror.org/03kw6wr76', 'https://ror.org/02p2bgp27']"
northern ireland canc ctr,"['https://ror.org/016nn6y69', 'https://ror.org/00r2p7t19', 'https://ror.org/01dwc1797', 'https://ror.org/01xgj3b22', 'https://ror.org/00qnrsq87', 'https://ror.org/0502kph39', 'https://ror.org/01bkx5q50', 'https://ror.org/00f8adc72', 'https://ror.org/057dddr91', 'https://ror.org/044y4ky78', 'https://ror.org/051r7gk37', 'https://ror.org/03nqb0t90', 'https://ror.org/05s8kep84', 'https://ror.org/00qvjvf51', 'https://ror.org/0156dtt23', 'https://ror.org/00yk21455', 'https://ror.org/012cw8553', 'https://ror.org/030xykx52', 'https://ror.org/01kwnqg78', 'https://ror.org/01nfbwg92']"
queen univ,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/048b34d51', 'https://ror.org/05jzt2178', 'https://ror.org/058k59m52', 'https://ror.org/039tzxh97', 'https://ror.org/00xagtd33', 'https://ror.org/05rbwvc13', 'https://ror.org/054ekwz94', 'https://ror.org/050fh0z31', 'https://ror.org/00x362k69', 'https://ror.org/05bhhjy59', 'https://ror.org/015dyrs73', 'https://ror.org/00p6q5476', 'https://ror.org/026zzn846', 'https://ror.org/03ephvw84', 'https://ror.org/03npxtg86', 'https://ror.org/05pgywt51', 'https://ror.org/0431sew76']"
south eastern hlth & social care trust belfast,"['https://ror.org/05w2bg876', 'https://ror.org/02tdmfk69', 'https://ror.org/015jwe732', 'https://ror.org/01bgbk171', 'https://ror.org/00sb42p15', 'https://ror.org/02fjtnt35', 'https://ror.org/00jsbh426', 'https://ror.org/05e99em22', 'https://ror.org/03jf1cp95', 'https://ror.org/05w9ckg77', 'https://ror.org/00s48x343', 'https://ror.org/02w403504', 'https://ror.org/05cn4v910', 'https://ror.org/03rq50d77', 'https://ror.org/03bv7bz63', 'https://ror.org/037bjx704', 'https://ror.org/0288he568', 'https://ror.org/037a3hd22', 'https://ror.org/03vtyzs10', 'https://ror.org/00zmwwm29']"
lagan valley hosp,"['https://ror.org/03fmefz35', 'https://ror.org/04mnq8476', 'https://ror.org/03a71g847', 'https://ror.org/0131as255', 'https://ror.org/01y7m0485', 'https://ror.org/00h6n4889', 'https://ror.org/05py5qd41', 'https://ror.org/03gy9dj46', 'https://ror.org/03y150857', 'https://ror.org/01twwfv38', 'https://ror.org/02twc7963', 'https://ror.org/01he0tp29', 'https://ror.org/02pr26304', 'https://ror.org/04v1qxj13', 'https://ror.org/04qa0nf30', 'https://ror.org/03bh3se42', 'https://ror.org/039kas258', 'https://ror.org/01zzpyg63', 'https://ror.org/0300bh485', 'https://ror.org/055x7ey06']"
ballinderry rivers trust,"['https://ror.org/01mj2ze90', 'https://ror.org/028v2q832', 'https://ror.org/00ragt065', 'https://ror.org/02cvnka73', 'https://ror.org/01gbbz114', 'https://ror.org/04cegfm62', 'https://ror.org/02wgwcd78', 'https://ror.org/02qe51g80', 'https://ror.org/04sy68g86', 'https://ror.org/034b8wj92', 'https://ror.org/02q27pq78', 'https://ror.org/01wey0b22', 'https://ror.org/025s7rk09', 'https://ror.org/006sa3014', 'https://ror.org/034q5ae56', 'https://ror.org/03ntmq932', 'https://ror.org/01kr7aq59', 'https://ror.org/01v9wj339', 'https://ror.org/05t6em937', 'https://ror.org/04q267888']"
ctr excellence publ hlth,"['https://ror.org/016nn6y69', 'https://ror.org/0502kph39', 'https://ror.org/01bkx5q50', 'https://ror.org/04vxrkc13', 'https://ror.org/05tg5qm65', 'https://ror.org/05874db82', 'https://ror.org/010wkny21', 'https://ror.org/009p3gr97', 'https://ror.org/02y9qjz38', 'https://ror.org/04qby6e62', 'https://ror.org/04j9afg86', 'https://ror.org/02rttpd54', 'https://ror.org/019jndt66', 'https://ror.org/04pvwy558', 'https://ror.org/02tvrwm90', 'https://ror.org/0507zc831', 'https://ror.org/00eqwze33', 'https://ror.org/00srzz415', 'https://ror.org/02394fh52', 'https://ror.org/01p82h318']"
royal matern hosp,"['https://ror.org/03rq50d77', 'https://ror.org/003r53j91', 'https://ror.org/016kj2436', 'https://ror.org/05san5604', 'https://ror.org/03cb8f280', 'https://ror.org/01mwwwn80', 'https://ror.org/037m83a38', 'https://ror.org/05bsjqt55', 'https://ror.org/01ge67z96', 'https://ror.org/056vnsb08', 'https://ror.org/05xv66680', 'https://ror.org/03wnrjx87', 'https://ror.org/00dkg9f08', 'https://ror.org/02zzhpq74', 'https://ror.org/00k01kt20', 'https://ror.org/00c0kg894', 'https://ror.org/03cht9689', 'https://ror.org/01pxap840', 'https://ror.org/03kw6wr76', 'https://ror.org/02p2bgp27']"
publ hlth agcy,[]
